Run 2: Slow Speed | V-infity: 30 m/s | p = 0.7708kg/m^3 | a = 2.1

:thickness , 33.26000000000001 , :generation , 1071737 , :positon-camber , 5.22 , :CD-Induced , 1.0524392267654568 , :Lift , 34417.372143959525 , :corrected-thickness , 0.3326000000000001 , :score , 17208.647075476263 , :cl-2D , 1.113641524276685 , :Drag , 8604.36253424163 , :corrected-position-camber , 0.522 , :corrected-max-camber , 0.06860000000000001 , :max-camber , 6.86 , :CL-3D , 4.2097473673777825 , 
:thickness , 25.550000000000008 , :generation , 42480 , :positon-camber , 4.63 , :CD-Induced , 1.052523384041227 , :Lift , 34418.748192240535 , :corrected-thickness , 0.25550000000000006 , :score , 17208.647044849902 , :cl-2D , 1.1136783070992142 , :Drag , 8605.050573695316 , :corrected-position-camber , 0.46299999999999997 , :corrected-max-camber , 0.0731 , :max-camber , 7.31 , :CL-3D , 4.209915678183272 , 
:thickness , 25.29000000000001 , :generation , 21775 , :positon-camber , 4.32 , :CD-Induced , 1.052333609517127 , :Lift , 34415.645127685435 , :corrected-thickness , 0.2529000000000001 , :score , 17208.647036060098 , :cl-2D , 1.1135953598113888 , :Drag , 8603.499045812669 , :corrected-position-camber , 0.43200000000000005 , :corrected-max-camber , 0.0753 , :max-camber , 7.53 , :CL-3D , 4.20953612805995 , 
:thickness , 32.14000000000001 , :generation , 21497 , :positon-camber , 5.88 , :CD-Induced , 1.0525803588889286 , :Lift , 34419.67975178054 , :corrected-thickness , 0.3214000000000001 , :score , 17208.646992886854 , :cl-2D , 1.1137032083978884 , :Drag , 8605.516379446843 , :corrected-position-camber , 0.588 , :corrected-max-camber , 0.0632 , :max-camber , 6.32 , :CL-3D , 4.210029621522835 , 
:thickness , 26.06000000000001 , :generation , 842 , :positon-camber , 6.48 , :CD-Induced , 1.0538370824669265 , :Lift , 34440.22123305297 , :corrected-thickness , 0.2606000000000001 , :score , 17208.639439126346 , :cl-2D , 1.1142522978960963 , :Drag , 8615.790896963314 , :corrected-position-camber , 0.648 , :corrected-max-camber , 0.057999999999999996 , :max-camber , 5.8 , :CL-3D , 4.212542144743579 , 
:thickness , 30.34000000000001 , :generation , 827 , :positon-camber , 4.95 , :CD-Induced , 1.0564310273702575 , :Lift , 34482.58125805259 , :corrected-thickness , 0.3034000000000001 , :score , 17208.585153114953 , :cl-2D , 1.1153846137482313 , :Drag , 8636.998052468818 , :corrected-position-camber , 0.495 , :corrected-max-camber , 0.0708 , :max-camber , 7.08 , :CL-3D , 4.21772339457806 , 
:thickness , 25.710000000000008 , :generation , 70 , :positon-camber , 5.79 , :CD-Induced , 1.0016012295611185 , :Lift , 33575.81929387737 , :corrected-thickness , 0.2571000000000001 , :score , 17198.360387536835 , :cl-2D , 1.0911461732336627 , :Drag , 8188.729453170269 , :corrected-position-camber , 0.579 , :corrected-max-camber , 0.062400000000000004 , :max-camber , 6.24 , :CL-3D , 4.1068131607706 , 
:thickness , 35.18000000000001 , :generation , 37 , :positon-camber , 4.99 , :CD-Induced , 1.2239603621263062 , :Lift , 37116.145713405305 , :corrected-thickness , 0.35180000000000006 , :score , 17102.83109068191 , :cl-2D , 1.1857818049784696 , :Drag , 10006.657311361698 , :corrected-position-camber , 0.499 , :corrected-max-camber , 0.0761 , :max-camber , 7.61 , :CL-3D , 4.539846797444731 , 
:thickness , 27.310000000000006 , :generation , 17 , :positon-camber , 6.68 , :CD-Induced , 1.2271843160487768 , :Lift , 37164.99617181603 , :corrected-thickness , 0.27310000000000006 , :score , 17098.96578624924 , :cl-2D , 1.187087615077567 , :Drag , 10033.015192783394 , :corrected-position-camber , 0.6679999999999999 , :corrected-max-camber , 0.060599999999999994 , :max-camber , 6.06 , :CL-3D , 4.545821922094851 , 
:thickness , 37.09 , :generation , 2 , :positon-camber , 6.36 , :CD-Induced , 1.4518659969077727 , :Lift , 40424.295633957205 , :corrected-thickness , 0.3709 , :score , 16684.43290207021 , :cl-2D , 1.2742111814085972 , :Drag , 11869.931365943497 , :corrected-position-camber , 0.636 , :corrected-max-camber , 0.0696 , :max-camber , 6.96 , :CL-3D , 4.944481856759641 , 
:thickness , 29.93 , :generation , 1 , :positon-camber , 7.25 , :CD-Induced , 0.03962341194341597 , :Lift , 6678.133999754467 , :corrected-thickness , 0.2993 , :score , 6030.240624946365 , :cl-2D , 0.37215048225957087 , :Drag , 323.9466874040512 , :corrected-position-camber , 0.725 , :corrected-max-camber , 0.008100000000000001 , :max-camber , 0.81 , :CL-3D , 0.8168333394795945 , 

