Run 3: Slow Speed | V-infity: 30 m/s | p = 0.7708kg/m^3 | a = 2.1

:thickness , 38.05 , :generation , 1871881 , :positon-camber , 4.17 , :CD-Induced , 0.6760656477050193 , :Lift , 27585.040687283745 , :corrected-thickness , 0.38049999999999995 , :score , 994472.7317436856 , :cl-2D , 0.9310080811777736 , :Drag , 5527.2682563144845 , :corrected-position-camber , 0.417 , :corrected-max-camber , 0.0605 , :max-camber , 6.05 , :CL-3D , 3.3740534264665714 , 
:thickness , 31.58 , :generation , 1791405 , :positon-camber , 3.89 , :CD-Induced , 0.6760687464534392 , :Lift , 27585.103905259377 , :corrected-thickness , 0.31579999999999997 , :score , 994472.706409439 , :cl-2D , 0.931009771042592 , :Drag , 5527.293590560993 , :corrected-position-camber , 0.389 , :corrected-max-camber , 0.0621 , :max-camber , 6.21 , :CL-3D , 3.374061158948453 , 
:thickness , 30.67 , :generation , 315291 , :positon-camber , 7.69 , :CD-Induced , 0.6760959039414396 , :Lift , 27585.657942558973 , :corrected-thickness , 0.30670000000000003 , :score , 994472.4843796379 , :cl-2D , 0.931024580883167 , :Drag , 5527.5156203621755 , :corrected-position-camber , 0.769 , :corrected-max-camber , 0.0363 , :max-camber , 3.63 , :CL-3D , 3.374128925803331 , 
:thickness , 30.52 , :generation , 312391 , :positon-camber , 3.43 , :CD-Induced , 0.6761043126070402 , :Lift , 27585.829484680762 , :corrected-thickness , 0.30519999999999997 , :score , 994472.4156334286 , :cl-2D , 0.931029166335225 , :Drag , 5527.584366571378 , :corrected-position-camber , 0.343 , :corrected-max-camber , 0.0645 , :max-camber , 6.45 , :CL-3D , 3.37414990791064 , 
:thickness , 32.79 , :generation , 138316 , :positon-camber , 7.15 , :CD-Induced , 0.6761240862975068 , :Lift , 27586.232876328384 , :corrected-thickness , 0.32789999999999997 , :score , 994472.253970886 , :cl-2D , 0.9310399493023556 , :Drag , 5527.746029114058 , :corrected-position-camber , 0.7150000000000001 , :corrected-max-camber , 0.0408 , :max-camber , 4.08 , :CL-3D , 3.3741992486017156 , 
:thickness , 29.29 , :generation , 67198 , :positon-camber , 8.63 , :CD-Induced , 0.6761418766848873 , :Lift , 27586.595802713426 , :corrected-thickness , 0.2929 , :score , 994472.1085231121 , :cl-2D , 0.9310496506020821 , :Drag , 5527.891476887909 , :corrected-position-camber , 0.8630000000000001 , :corrected-max-camber , 0.027200000000000002 , :max-camber , 2.72 , :CL-3D , 3.374243639800079 , 
:thickness , 26.1 , :generation , 19308 , :positon-camber , 5.09 , :CD-Induced , 0.6761460631450885 , :Lift , 27586.681206391724 , :corrected-thickness , 0.261 , :score , 994472.0742961274 , :cl-2D , 0.9310519335076934 , :Drag , 5527.925703872604 , :corrected-position-camber , 0.509 , :corrected-max-camber , 0.0552 , :max-camber , 5.52 , :CL-3D , 3.3742540859174754 , 
:thickness , 30.44 , :generation , 8965 , :positon-camber , 5.35 , :CD-Induced , 0.6767304417361966 , :Lift , 27598.59992115362 , :corrected-thickness , 0.3044 , :score , 994467.2966280899 , :cl-2D , 0.9313705298650397 , :Drag , 5532.703371910117 , :corrected-position-camber , 0.5349999999999999 , :corrected-max-camber , 0.0536 , :max-camber , 5.36 , :CL-3D , 3.375711918836315 , 
:thickness , 25.7 , :generation , 1819 , :positon-camber , 7.96 , :CD-Induced , 0.6771687887792429 , :Lift , 27607.536866720813 , :corrected-thickness , 0.257 , :score , 994463.7128611812 , :cl-2D , 0.931609421252273 , :Drag , 5536.287138818706 , :corrected-position-camber , 0.796 , :corrected-max-camber , 0.0339 , :max-camber , 3.39 , :CL-3D , 3.37680503782624 , 
:thickness , 20.4 , :generation , 923 , :positon-camber , 6.44 , :CD-Induced , 0.6790062283361888 , :Lift , 27644.966837497428 , :corrected-thickness , 0.204 , :score , 994448.6906198198 , :cl-2D , 0.932609952986041 , :Drag , 5551.309380180148 , :corrected-position-camber , 0.644 , :corrected-max-camber , 0.0463 , :max-camber , 4.63 , :CL-3D , 3.381383270013137 , 
:thickness , 16.35 , :generation , 475 , :positon-camber , 6.804410776753566 , :CD-Induced , 0.6816244251780956 , :Lift , 27698.214011915563 , :corrected-thickness , 0.1635 , :score , 994427.2851892345 , :cl-2D , 0.9340332906652706 , :Drag , 5572.714810765445 , :corrected-position-camber , 0.6804410776753567 , :corrected-max-camber , 0.0437 , :max-camber , 4.37 , :CL-3D , 3.3878961772563008 , 
:thickness , 13.81 , :generation , 190 , :positon-camber , 4.888596679721656 , :CD-Induced , 0.6977701288967061 , :Lift , 28024.339212809144 , :corrected-thickness , 0.1381 , :score , 994295.2837542517 , :cl-2D , 0.9427508666052261 , :Drag , 5704.716245748387 , :corrected-position-camber , 0.48885966797216557 , :corrected-max-camber , 0.057300000000000004 , :max-camber , 5.73 , :CL-3D , 3.4277860532222735 , 
:thickness , 23.36 , :generation , 168 , :positon-camber , 3.05 , :CD-Induced , 0.7012586815687204 , :Lift , 28094.30673425129 , :corrected-thickness , 0.2336 , :score , 994266.762609138 , :cl-2D , 0.9446211519429774 , :Drag , 5733.237390861974 , :corrected-position-camber , 0.305 , :corrected-max-camber , 0.0677 , :max-camber , 6.77 , :CL-3D , 3.4363441031501134 , 
:thickness , 13.77 , :generation , 28 , :positon-camber , 3.121312508792782 , :CD-Induced , 0.7066666316162408 , :Lift , 28202.427188156813 , :corrected-thickness , 0.1377 , :score , 994222.5491651761 , :cl-2D , 0.9475112943330818 , :Drag , 5777.450834823906 , :corrected-position-camber , 0.31213125087927823 , :corrected-max-camber , 0.0675 , :max-camber , 6.75 , :CL-3D , 3.449568814039854 , 
:thickness , 8.6 , :generation , 8 , :positon-camber , 2.377683527629044 , :CD-Induced , 1.1972123543738402 , :Lift , 36708.343689216556 , :corrected-thickness , 0.086 , :score , 990212.0247273896 , :cl-2D , 1.1748809451105653 , :Drag , 9787.975272610385 , :corrected-position-camber , 0.23776835276290437 , :corrected-max-camber , 0.0935 , :max-camber , 9.35 , :CL-3D , 4.489966652889848 , 
:thickness , 5.14 , :generation , 7 , :positon-camber , 4.833785413391385 , :CD-Induced , 1.2080848281819574 , :Lift , 36874.650220167154 , :corrected-thickness , 0.051399999999999994 , :score , 990123.1353132458 , :cl-2D , 1.1793264458228685 , :Drag , 9876.864686754141 , :corrected-position-camber , 0.4833785413391385 , :corrected-max-camber , 0.07690000000000001 , :max-camber , 7.69 , :CL-3D , 4.510308370959392 , 
:thickness , 11.75 , :generation , 3 , :positon-camber , 6.8809373047937195 , :CD-Induced , 2.286336187822444 , :Lift , 50728.17512913452 , :corrected-thickness , 0.1175 , :score , 981307.7421148191 , :cl-2D , 1.5496417575469656 , :Drag , 18692.25788518088 , :corrected-position-camber , 0.688093730479372 , :corrected-max-camber , 0.08070000000000001 , :max-camber , 8.07 , :CL-3D , 6.204796833660442 , 
:thickness , 17.27 , :generation , 2 , :positon-camber , 3.628636955595488 , :CD-Induced , 0.39618848263636847 , :Lift , 21116.89777042085 , :corrected-thickness , 0.1727 , :score , 0 , :cl-2D , 0.7581096761672443 , :Drag , 3239.0937640849806 , :corrected-position-camber , 0.3628636955595488 , :corrected-max-camber , 0.0479 , :max-camber , 4.79 , :CL-3D , 2.582905063884051 , 

